,player_id,year_id,name_common,opprpg,opprpg_1yr,opprpg_2yr,opprpg_3yr
0,aaronha01,1965,Henry Aaron,4.01644,4.0237,3.80823,4.50387
1,aaronha01,1966,Henry Aaron,4.08073,4.01644,4.0237,3.80823
2,aaronha01,1967,Henry Aaron,3.82357,4.08073,4.01644,4.0237
3,aaronha01,1968,Henry Aaron,3.4085,3.82357,4.08073,4.01644
4,aaronha01,1969,Henry Aaron,4.06809,3.4085,3.82357,4.08073
5,aaronha01,1970,Henry Aaron,4.51678,4.06809,3.4085,3.82357
6,aaronha01,1971,Henry Aaron,3.89996,4.51678,4.06809,3.4085
7,aaronha01,1972,Henry Aaron,3.87737,3.89996,4.51678,4.06809
8,abreubo01,2001,Bobby Abreu,4.73359,5.05048,4.97381,4.60824
9,abreubo01,2002,Bobby Abreu,4.481,4.73359,5.05048,4.97381
10,abreubo01,2003,Bobby Abreu,4.62384,4.481,4.73359,5.05048
11,abreubo01,2004,Bobby Abreu,4.67092,4.62384,4.481,4.73359
12,abreubo01,2005,Bobby Abreu,4.55336,4.67092,4.62384,4.481
13,abreubo01,2006,Bobby Abreu,4.88665217948718,4.55336,4.67092,4.62384
14,abreubo01,2007,Bobby Abreu,4.85895,4.88665217948718,4.55336,4.67092
15,abreubo01,2008,Bobby Abreu,4.704,4.85895,4.88665217948718,4.55336
16,abreubo01,2009,Bobby Abreu,4.79788,4.704,4.85895,4.88665217948718
17,abreubo01,2010,Bobby Abreu,4.44684,4.79788,4.704,4.85895
18,abreubo01,2011,Bobby Abreu,4.43662,4.44684,4.79788,4.704
19,abreujo02,2017,José Abreu,4.6954,4.50306,4.304,4.13265
20,abreujo02,2018,José Abreu,4.57865,4.6954,4.50306,4.304
21,abreujo02,2019,José Abreu,4.95606,4.57865,4.6954,4.50306
22,ackledu01,2014,Dustin Ackley,4.13265,4.29243,4.41052,4.43662
23,adairje01,1965,Jerry Adair,3.93924,4.05437,4.0662,4.43742
24,adairje01,1966,Jerry Adair,3.88302,3.93924,4.05437,4.0662
25,adairje01,1967,Jerry Adair,3.67965,3.88302,3.93924,4.05437
26,ageeto01,1969,Tommie Agee,4.06809,3.4085,3.679650000000001,3.8830200000000006
27,ageeto01,1970,Tommie Agee,4.51678,4.06809,3.4085,3.679650000000001
28,ageeto01,1971,Tommie Agee,3.89996,4.51678,4.06809,3.4085
29,ageeto01,1972,Tommie Agee,3.87737,3.89996,4.51678,4.06809
30,aikenwi01,1982,Willie Aikens,4.48127,4.07185,4.49876,4.70696
31,aikenwi01,1983,Willie Aikens,4.49768,4.48127,4.07185,4.49876
32,alfoned01,1998,Edgardo Alfonzo,4.60824,4.61604,4.69486,4.63299
33,alfoned01,1999,Edgardo Alfonzo,4.97381,4.60824,4.61604,4.69486
34,alfoned01,2000,Edgardo Alfonzo,5.05048,4.97381,4.60824,4.61604
35,alfoned01,2001,Edgardo Alfonzo,4.73359,5.05048,4.97381,4.60824
36,alfoned01,2002,Edgardo Alfonzo,4.481,4.73359,5.05048,4.97381
37,alfoned01,2003,Edgardo Alfonzo,4.62384,4.481,4.73359,5.05048
38,alfoned01,2004,Edgardo Alfonzo,4.67092,4.62384,4.481,4.73359
39,alfoned01,2005,Edgardo Alfonzo,4.55336,4.67092,4.62384,4.481
40,alicelu01,1996,Luis Alicea,4.69486,5.10078,4.63541,4.5025200000000005
41,alicelu01,1997,Luis Alicea,4.96224,4.69486,5.10078,4.63541
42,allendi01,1967,Dick Allen,3.82357,4.08073,4.01644,4.0237
43,allendi01,1968,Dick Allen,3.4085,3.82357,4.08073,4.01644
44,allendi01,1969,Dick Allen,4.06809,3.4085,3.82357,4.08073
45,allendi01,1970,Dick Allen,4.51678,4.06809,3.4085,3.82357
46,allendi01,1971,Dick Allen,3.89996,4.51678,4.06809,3.4085
47,allendi01,1972,Dick Allen,3.4679500000000005,3.89996,4.51678,4.06809
48,alleyge01,1968,Gene Alley,3.4085,3.82357,4.08073,4.01644
49,allisbo01,1965,Bob Allison,3.93924,4.05437,4.0662,4.43742
50,alomaro01,1992,Roberto Alomar,4.32337,4.47535,4.21496,3.92041
51,alomaro01,1993,Roberto Alomar,4.73279,4.32337,4.47535,4.21496
52,alomaro01,1994,Roberto Alomar,5.2498,4.73279,4.32337,4.47535
53,alomaro01,1995,Roberto Alomar,5.10078,5.2498,4.73279,4.32337
54,alomaro01,1996,Roberto Alomar,5.39802,5.10078,5.2498,4.73279
55,alomaro01,1997,Roberto Alomar,4.96224,5.39802,5.10078,5.2498
56,alomaro01,1998,Roberto Alomar,5.04133,4.96224,5.39802,5.10078
57,alomaro01,1999,Roberto Alomar,5.29365,5.04133,4.96224,5.39802
58,alomaro01,2000,Roberto Alomar,5.31786,5.29365,5.04133,4.96224
59,alomaro01,2001,Roberto Alomar,4.88558,5.31786,5.29365,5.04133
