,opprpg
5416,4.70696
2253,4.96224
4487,3.87468
723,4.48127
3970,4.28947
4768,4.704
533,4.13641
4492,5.05048
3322,3.87817
2524,4.72014
3352,4.111906413793103
766,3.85934
4958,4.07185
1785,4.77852
3275,4.54341
4399,4.66123
4484,3.4085
3613,5.05048
5201,4.92028
4699,4.69486
402,4.77852
0,4.01644
3281,3.4679500000000005
2851,4.06217
3210,4.43662
3656,4.43662
3564,5.124752222222222
172,5.29365
1796,5.2498
2906,4.05356
297,4.6954
4737,5.10078
1358,4.103868196721312
4877,4.73359
14,4.85895
5093,4.10467
391,4.41052
3065,4.61604
4423,4.16762
3658,4.29243
867,4.54341
1075,4.10117
2728,4.481
581,4.2773200000000005
4560,4.10117
3961,4.5235
4689,4.79788
4347,3.85934
108,4.96224
4787,4.15282
4864,5.05048
3900,4.51678
2564,4.43204
1810,4.21496
4372,4.13265
859,4.07777
196,5.252923492063492
4285,4.72014
5200,4.71718
644,4.09875
435,4.96224
4539,4.3812
2757,4.92028
2238,4.10117
5044,4.0619
3954,4.6954
1540,4.6954
1066,4.01509
2543,4.00514
3629,4.28517
792,4.66123
4017,4.00514
4339,4.3812
767,3.92041
4102,4.92028
5078,4.49768
3603,4.934
4503,4.64186
81,4.51678
3408,3.92041
697,4.32337
409,4.13641
3429,4.11785
2455,4.22707
2104,5.05048
2799,4.13641
3235,4.62384
3271,3.89996
3205,4.57865
4903,4.51678
5338,3.85934
3477,4.92028
2106,4.481
3736,5.2498
3127,5.39802
1853,4.06217
322,4.13399
2337,4.01509
3602,4.63756
3203,4.88558
4650,4.0619
932,4.5235
3171,4.41052
2632,4.73279
4260,4.49876
1549,4.16762
1607,5.31786
3760,5.29365
1396,4.60824
1234,5.10078
2114,4.73359
3039,4.714610647482014
3090,4.57865
4567,5.04133
2545,4.55336
220,4.49768
2320,3.87817
3009,4.70696
2750,4.97381
1112,4.13399
3686,5.2498
4149,4.5001
123,4.704
1341,4.48127
4593,4.10117
2656,4.97381
1251,4.79788
4957,4.49876
1855,4.15282
1807,4.69486
1006,5.04644
5575,4.15524
1411,5.39802
848,4.77852
3024,4.57865
1588,4.00514
3092,4.15524
1845,4.57865
4602,4.67092
965,4.07777
404,4.50898
150,4.72014
4887,5.29365
4979,4.43662
1034,4.70696
2707,4.63299
4046,5.39802
4542,4.01509
1376,4.07185
3006,4.63299
2904,4.10467
4193,4.06217
1253,4.43662
4663,4.32902
2426,4.28517
4058,4.77852
942,5.39802
4656,3.85934
1697,4.22707
1445,4.15524
3395,4.60824
4394,4.70696
2227,4.66123
4107,4.15524
3264,4.44684
5664,4.63541
2499,4.71718
3349,4.66123
26,4.06809
21,4.95606
863,4.28517
3347,4.22222
4645,4.37636
2226,4.077769999999999
3132,5.2498
1419,4.5235
468,4.32337
925,4.01509
5581,4.58322
422,4.55336
915,4.22222
2505,4.43662
4323,4.28517
3668,4.49768
3393,4.69486
4996,4.02801
39,4.55336
2388,5.01201
215,3.89996
2250,4.63541
4234,4.96224
4366,4.704
3912,4.01509
3921,4.48127
5687,4.41052
333,4.70696
575,4.22707
2164,4.06809
4223,4.50898
5690,4.303999999999999
1255,4.83016
5421,4.43204
2498,5.01201
3093,4.28947
4282,4.32283
4401,4.72014
1878,3.991787899159664
1329,4.15282
2639,4.43662
3767,4.49768
4464,5.05048
4963,4.63756
1932,4.57865
4776,4.58322
2873,4.44684
3837,4.09875
5119,3.97501
5017,4.08073
4551,3.99035
4672,4.10117
3118,4.49768
5619,4.44684
5162,4.3812
2701,4.69486
1047,4.71718
5522,4.21496
109,5.04133
2188,4.304
224,4.934
5490,4.43662
4478,4.575832892561984
5686,4.48127
4326,4.5001
5210,4.28947
1356,4.43662
2937,4.520536000000001
605,4.32902
1269,4.32283
4576,3.85934
4932,4.88558
2729,4.62384
1906,4.61604
750,4.64186
4930,4.73359
802,4.50306
2265,4.304
2903,4.0619
5591,3.93924
2967,4.67092
3372,4.32902
5317,4.50252
507,4.32902
1471,4.21496
2764,4.41052
5618,4.304
3404,4.49768
2365,4.21496
2402,3.67965
3414,4.96224
1324,3.87817
5217,4.6954
4966,4.32337
4898,4.13641
4597,4.63299
1395,4.61604
70,4.08073
5188,4.02801
3324,4.3812
2621,4.06809
2588,4.665383819444445
95,4.55336
938,4.32337
1982,4.13265
497,4.07185
1123,4.11785
4771,4.13399
2339,4.0619
324,4.29243
432,4.934
4712,4.57865
258,3.82357
1460,4.55336
276,4.32283
2034,4.29862
2970,4.366897522123893
325,4.13265
4928,4.01509
2828,4.304
4166,4.7977244295302
5661,4.73279
13,4.88665217948718
11,4.67092
5533,4.32902
3220,4.96224
5060,5.2498
3718,3.874680000000001
4469,5.31786
4449,4.71718
4838,4.96224
2240,4.73279
5677,4.15524
5315,3.88302
886,4.29862
3328,4.13265
5589,4.11785
4842,4.61604
3953,4.50306
4778,4.934
1065,4.28517
2608,5.31786
3871,4.47535
4830,4.64186
1177,4.32337
3811,4.43662
420,4.62384
2682,4.77852
3706,4.49768
3751,4.57865
3073,5.05048
5458,4.55336
2408,5.39802
4524,3.89996
926,3.87817
253,4.54341
3803,4.09875
4861,4.0619
4475,4.92028
4857,4.00514
745,4.62384
3308,4.95606
2638,4.92028
4669,3.85934
4735,4.73279
2263,4.02801
3834,4.29243
1862,3.97501
1035,4.01509
5290,4.86675
2555,4.29862
5436,4.54341
1017,3.97501
2160,4.44684
556,4.49768
1883,5.29365
481,4.3812
3022,4.73279
2312,4.47535
2138,4.90387
4652,4.06217
126,4.16762
3951,4.13265
66,4.29862
5256,5.10078
2907,3.82357
3647,4.10467
2848,4.55336
1394,4.69486
3160,3.93924
5002,4.32902
5010,4.00514
1928,4.72014
390,4.43662
2045,4.83016
2056,4.09875
3000,4.32902
5526,4.77852
1945,4.92028
4841,4.69486
4774,4.70696
1241,5.29365
4191,3.97501
5135,4.32902
5045,4.10467
3200,5.04133
3031,4.77852
4853,4.13641
2503,4.79788
4741,4.57865
1802,4.47535
754,4.37636
1271,4.47535
3641,4.37636
2778,4.63299
813,4.50306
2354,4.49768
2091,4.49876
3496,4.49768
3796,4.49876
2096,4.06809
4610,4.11785
4308,4.22707
3193,4.10117
4827,4.71718
715,4.07777
1184,4.43662
155,4.0619
4440,4.09875
1489,4.85895
2146,3.8623
5012,4.01509
4868,3.97959
768,4.21496
441,4.44684
2475,4.37905
2474,4.5235
1424,3.8623
5617,4.019835585585586
3047,4.5001
3329,4.304
5519,4.5235
4606,4.304
2784,4.73359
5622,4.087055242718447
1406,4.72014
2171,4.32337
3257,4.47535
1764,5.2498
4836,5.10078
2550,4.32902
1120,4.58322
1482,4.62384
3753,4.06217
7,3.87737
4306,4.90387
3403,4.48127
4268,4.37905
2678,4.90387
2277,4.21227
1817,4.61604
2349,4.92028
1749,4.661229999999999
5470,4.71718
1077,4.50252
1508,4.96224
3319,3.40823
4646,4.00514
3088,4.501079718309859
4691,4.43662
4023,3.87468
4100,4.67092
157,4.08073
4031,4.32902
1506,4.50898
3962,3.85934
4005,4.55336
2742,4.28947
2987,4.69486
3430,3.9750100000000006
4952,4.32337
5008,5.39802
5301,5.39802
165,4.871722983870968
679,4.07777
4251,5.31786
4410,4.85895
1523,4.704
3637,4.28517
4675,4.16762
2258,3.85934
1938,4.383112452830189
4978,4.44684
951,4.62384
5660,4.32337
5553,4.58322
1914,4.32902
4964,4.32902
465,4.62384
5168,4.3812
2260,4.21496
2213,4.54341
3765,4.07185
3708,4.97381
1148,4.22707
4536,4.77852
294,4.13265
5518,4.15282
5144,4.21227
534,4.29862
801,4.304
4229,4.304
3310,4.08073
5079,3.93924
3491,4.66123
4379,4.32902
1934,4.60824
1032,4.54341
1081,4.96224
1028,4.22707
2243,4.71718
2838,4.28517
3702,4.70696
5469,5.01201
4731,3.88302
2708,5.31786
1907,4.60824
4236,5.29365
5406,4.08073
1551,3.46795
214,4.51678
511,5.2498
496,4.49876
3775,4.61604
731,4.88558
3332,4.57865
4028,4.934
975,4.62384
2534,4.29243
2491,4.63299
115,5.31786
2187,4.13265
4976,4.704
950,4.481
1007,4.11785
3737,5.10078
249,4.28517
1515,4.64186
763,4.304
4156,4.32902
2237,4.21496
1964,4.73359
3817,4.63299
146,3.4679500000000005
149,4.32337
2013,3.67965
2627,4.3812
2852,5.249799999999999
5219,4.01509
3317,3.88302
4303,4.21227
1971,4.956059999999999
2874,4.43662
5512,3.899960000000001
4087,4.06809
3827,4.92028
3122,4.934
4047,4.96224
4980,4.41052
4509,3.99035
5455,4.44684
323,4.41052
985,4.758574657534247
1958,4.63299
5662,4.85895
5384,4.16762
2960,4.77852
3994,3.99035
3335,3.82357
755,4.00514
1111,3.87737
4375,4.63756
5253,4.97381
2247,4.50898
3482,4.64186
2694,4.32283
166,4.55336
3849,4.85895
4208,4.13265
2194,4.07185
1566,4.6954
5191,4.02801
4584,4.835596711409396
426,4.50898
1061,4.07777
4318,4.71718
2885,4.481
5351,4.70696
3754,4.05356
624,4.48127
1735,4.72014
5520,4.211838956521739
2248,4.390759223300971
321,3.87737
1772,4.83016
3895,4.5235
1689,3.97501
1955,5.31786
3500,4.47535
4143,3.97959
1614,3.4085
5412,4.73279
5328,4.66123
4949,4.01644
